species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,45.6,,191.0,4600.0,
,Dream,40.2,,193.0,3400.0,FEMALE
Adelie,Dream,,,187.0,3425.0,FEMALE
Gentoo,,45.5,15.0,220.0,5000.0,MALE
Adelie,Torgersen,37.8,,180.0,3700.0,
Gentoo,Biscoe,49.1,14.5,212.0,,FEMALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Adelie,Dream,36.2,17.3,,3300.0,FEMALE
Chinstrap,Dream,50.7,,203.0,,MALE
Gentoo,,50.5,15.9,225.0,,MALE
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,
Adelie,Dream,,18.1,193.0,3750.0,MALE
,Biscoe,49.1,,212.0,4625.0,FEMALE
Adelie,Biscoe,37.6,,194.0,3750.0,MALE
,Biscoe,42.9,,215.0,,FEMALE
Gentoo,Biscoe,,17.0,230.0,6050.0,MALE
Chinstrap,,50.2,,,3775.0,FEMALE
Chinstrap,Dream,45.2,17.8,198.0,3950.0,
Gentoo,Biscoe,50.0,16.3,,5700.0,MALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
Gentoo,Biscoe,51.1,16.5,,5250.0,MALE
Gentoo,Biscoe,54.3,,231.0,5650.0,MALE
Chinstrap,,,,202.0,3400.0,FEMALE
Adelie,,34.6,17.2,189.0,3200.0,FEMALE
Chinstrap,Dream,48.5,,,3400.0,MALE
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE
,Biscoe,35.0,17.9,192.0,3725.0,
Gentoo,,55.1,16.0,230.0,,MALE
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
Adelie,Torgersen,,17.0,188.0,2900.0,FEMALE
,Biscoe,40.1,18.9,188.0,,MALE
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
Adelie,Biscoe,,20.3,191.0,4600.0,MALE
Gentoo,,,14.4,210.0,4400.0,FEMALE
Gentoo,Biscoe,,13.7,214.0,4925.0,FEMALE
Gentoo,Biscoe,48.7,15.1,,5350.0,
Adelie,,42.2,19.5,197.0,4275.0,MALE
Adelie,Dream,36.6,,184.0,3475.0,
Adelie,Torgersen,36.2,,187.0,3150.0,FEMALE
Adelie,Biscoe,,20.7,191.0,3900.0,FEMALE
Chinstrap,Dream,,18.2,197.0,,MALE
Gentoo,Biscoe,50.0,,224.0,5350.0,MALE
Adelie,Biscoe,,17.0,185.0,3600.0,FEMALE
,Biscoe,35.0,17.9,,3725.0,
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE
Adelie,Biscoe,39.6,,186.0,3500.0,FEMALE
,Dream,37.8,18.1,,3750.0,MALE
Chinstrap,Dream,,20.0,,3300.0,MALE
Adelie,Torgersen,34.4,18.4,,3325.0,FEMALE
,Biscoe,50.4,15.3,,5550.0,MALE
Gentoo,Biscoe,59.6,17.0,,,MALE
Gentoo,,44.9,,213.0,5100.0,FEMALE
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE
Adelie,Torgersen,36.7,,193.0,3450.0,FEMALE
Gentoo,Biscoe,46.2,14.5,,4800.0,FEMALE
Adelie,Biscoe,37.7,18.7,,3600.0,
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,
Gentoo,Biscoe,43.2,14.5,208.0,,FEMALE
Gentoo,Biscoe,,15.9,224.0,,MALE
Adelie,Torgersen,37.7,19.8,,3500.0,MALE
Adelie,Biscoe,39.0,17.5,,3550.0,FEMALE
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE
Gentoo,Biscoe,44.9,,,4750.0,FEMALE
,Torgersen,39.7,18.4,190.0,3900.0,MALE
,Biscoe,45.1,,210.0,4400.0,FEMALE
Adelie,Dream,44.1,,196.0,4400.0,MALE
,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE
Chinstrap,Dream,,16.4,199.0,3325.0,FEMALE
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE
Gentoo,,46.7,,219.0,5200.0,MALE
Chinstrap,,46.0,18.9,195.0,,FEMALE
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE
Adelie,,40.6,,193.0,3800.0,
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE
Chinstrap,Dream,49.6,18.2,193.0,3775.0,
Gentoo,Biscoe,42.0,13.5,210.0,,FEMALE
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE
Adelie,,40.6,,193.0,3800.0,
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE
,Biscoe,50.5,15.2,,5000.0,
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE
Adelie,Torgersen,39.2,19.6,195.0,4675.0,
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE
Chinstrap,,51.3,18.2,197.0,3750.0,MALE
Adelie,,,20.0,190.0,,
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE
Adelie,Torgersen,,17.8,185.0,3700.0,FEMALE
Adelie,Torgersen,34.1,18.1,193.0,,
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE
Gentoo,,54.3,15.7,231.0,5650.0,MALE
Gentoo,Biscoe,49.0,16.1,,5550.0,MALE
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,
Gentoo,Biscoe,49.6,,216.0,,MALE
Adelie,Dream,38.1,18.6,190.0,,FEMALE
Adelie,Dream,36.9,18.6,,3500.0,FEMALE
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,FEMALE
Adelie,Biscoe,,17.2,199.0,3750.0,FEMALE
Gentoo,Biscoe,48.7,14.1,210.0,,FEMALE
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE
,Biscoe,50.0,15.9,224.0,5350.0,MALE
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE
Adelie,,,17.1,184.0,2850.0,FEMALE
Adelie,Torgersen,41.4,18.5,202.0,,MALE
Chinstrap,,46.5,17.9,,3500.0,FEMALE
Adelie,,37.9,,193.0,2925.0,FEMALE
Adelie,,37.6,19.1,194.0,3750.0,MALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,
Gentoo,Biscoe,,13.7,213.0,4950.0,FEMALE
,Biscoe,42.7,18.3,196.0,4075.0,MALE
Gentoo,Biscoe,49.8,,230.0,5700.0,MALE
,Biscoe,,14.5,212.0,4750.0,FEMALE
,Biscoe,,14.6,211.0,4800.0,FEMALE
Chinstrap,Dream,50.8,18.5,201.0,,MALE
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE
Adelie,,39.6,17.2,196.0,3550.0,FEMALE
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE
Adelie,Biscoe,42.0,19.5,,4050.0,MALE
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE
Chinstrap,,49.6,,193.0,3775.0,MALE
Gentoo,Biscoe,,15.7,231.0,5650.0,MALE
Adelie,Biscoe,,17.0,185.0,3600.0,FEMALE
,Biscoe,48.8,16.2,222.0,6000.0,
,Dream,37.5,18.9,179.0,2975.0,
Adelie,Torgersen,34.6,17.2,189.0,,
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,
Chinstrap,,51.9,19.5,206.0,,MALE
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
Gentoo,Biscoe,,,,,
Adelie,Biscoe,35.0,17.9,190.0,3450.0,
,Dream,,18.3,195.0,3850.0,FEMALE
Gentoo,Biscoe,,,224.0,5550.0,MALE
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE
Adelie,,,17.1,193.0,3400.0,FEMALE
Gentoo,,,13.7,214.0,4650.0,FEMALE
Adelie,Dream,39.2,18.6,190.0,,MALE
Gentoo,,,14.8,217.0,5200.0,FEMALE
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,FEMALE
Gentoo,,50.5,15.9,225.0,,MALE
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE
Chinstrap,,50.1,17.9,190.0,3400.0,FEMALE
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE
,Biscoe,43.5,14.2,220.0,4700.0,FEMALE
,Dream,51.5,18.7,187.0,3250.0,MALE
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,
,Dream,37.3,,191.0,3350.0,FEMALE
Chinstrap,Dream,46.6,17.8,193.0,,FEMALE
Chinstrap,Dream,42.4,17.3,181.0,,FEMALE
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,FEMALE
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE
Adelie,,37.8,18.1,193.0,3750.0,MALE
Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE
Gentoo,,45.8,14.2,219.0,4700.0,FEMALE
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
Gentoo,Biscoe,48.7,,208.0,5350.0,MALE
,Biscoe,48.8,16.2,222.0,6000.0,
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE
,Biscoe,45.6,20.3,191.0,4600.0,MALE
Chinstrap,Dream,,,203.0,,MALE
Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE
Adelie,Dream,,18.7,185.0,3650.0,MALE
Chinstrap,Dream,51.9,19.5,,3950.0,MALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE
Chinstrap,,50.8,18.5,201.0,4450.0,MALE
Adelie,,36.4,17.1,184.0,2850.0,
Chinstrap,Dream,,18.2,195.0,4400.0,
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,
Adelie,Biscoe,37.9,18.6,,2925.0,FEMALE
Adelie,Biscoe,39.7,,193.0,3200.0,FEMALE
,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
Gentoo,,45.1,14.5,215.0,,
Gentoo,,43.5,15.2,213.0,4650.0,FEMALE
Gentoo,Biscoe,47.3,13.8,,4725.0,
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
,Dream,39.2,18.6,190.0,,MALE
Gentoo,Biscoe,,14.4,217.0,4900.0,FEMALE
,Biscoe,43.2,14.5,,4450.0,
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,FEMALE
Adelie,Dream,39.2,18.6,190.0,4250.0,
Gentoo,Biscoe,49.8,16.8,,5700.0,MALE
Chinstrap,Dream,51.5,18.7,,3250.0,
Adelie,Torgersen,38.6,17.0,188.0,2900.0,
Adelie,,36.0,17.1,,,FEMALE
Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE
Gentoo,Biscoe,48.4,14.6,213.0,,MALE
Gentoo,Biscoe,47.6,,215.0,5400.0,MALE
Chinstrap,Dream,46.0,18.9,,,FEMALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Gentoo,Biscoe,45.5,13.9,210.0,,
Gentoo,Biscoe,43.6,13.9,217.0,,FEMALE
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE
Adelie,Torgersen,37.7,19.8,198.0,,
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE
,,35.3,18.9,187.0,,FEMALE
,Dream,41.1,19.0,182.0,3425.0,MALE
Adelie,Biscoe,39.7,17.7,,3200.0,FEMALE
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Gentoo,,46.7,,219.0,5200.0,MALE
Gentoo,,,,221.0,6300.0,MALE
Adelie,,42.2,19.5,197.0,4275.0,MALE
,Biscoe,43.2,19.0,197.0,4775.0,MALE
,Biscoe,45.5,15.0,220.0,5000.0,MALE
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE
Gentoo,,43.5,14.2,220.0,4700.0,FEMALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE
Adelie,Dream,36.5,18.0,,3150.0,FEMALE
Chinstrap,,49.6,,193.0,3775.0,MALE
Gentoo,Biscoe,49.2,15.2,,6300.0,MALE
Adelie,Biscoe,,,184.0,3550.0,MALE
,Biscoe,44.5,14.3,216.0,4100.0,
,Dream,58.0,17.8,181.0,3700.0,FEMALE
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
Gentoo,Biscoe,,15.6,221.0,,MALE
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE
,Dream,38.9,18.8,,3600.0,
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE
,Biscoe,46.3,15.8,,5050.0,MALE
Gentoo,Biscoe,48.7,14.1,,4450.0,FEMALE
,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
,Dream,49.2,18.2,195.0,4400.0,MALE
,Dream,41.3,20.3,194.0,3550.0,MALE
Chinstrap,,45.2,17.8,198.0,3950.0,FEMALE
,Biscoe,45.2,15.8,215.0,5300.0,MALE
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE
Adelie,Biscoe,42.0,19.5,200.0,,MALE
Chinstrap,Dream,50.6,19.4,193.0,,MALE
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE
Gentoo,Biscoe,46.2,14.5,,4800.0,FEMALE
Adelie,Torgersen,39.1,18.7,,3750.0,MALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Chinstrap,,46.5,17.9,,3500.0,FEMALE
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
Gentoo,,50.8,15.7,226.0,5200.0,
,,37.7,18.7,180.0,3600.0,MALE
Gentoo,,59.6,17.0,230.0,6050.0,MALE
Adelie,,37.5,18.9,179.0,2975.0,
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,FEMALE
Gentoo,Biscoe,49.6,16.0,,5700.0,MALE
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
Adelie,Biscoe,40.6,18.8,193.0,,MALE
Chinstrap,Dream,45.5,17.0,,3500.0,FEMALE
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,MALE
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE
,Dream,49.5,19.0,200.0,3800.0,MALE
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,
Adelie,Dream,,19.7,196.0,4400.0,MALE
Adelie,Torgersen,,18.6,,3325.0,MALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE
,Dream,46.4,18.6,190.0,3450.0,FEMALE
Gentoo,Biscoe,45.7,,,4400.0,FEMALE
Adelie,Biscoe,,21.1,195.0,4400.0,MALE
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Gentoo,,50.0,15.3,220.0,,MALE
Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE
Gentoo,Biscoe,,14.7,214.0,,FEMALE
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE
Gentoo,Biscoe,,13.3,213.0,5100.0,FEMALE
,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE
Gentoo,Biscoe,,14.2,,4700.0,
Chinstrap,Dream,51.3,19.9,198.0,,
,Dream,37.6,19.3,181.0,3300.0,
Chinstrap,Dream,,,197.0,3300.0,MALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Gentoo,Biscoe,47.8,,215.0,5650.0,MALE
Adelie,,44.1,19.7,196.0,,MALE
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
,Dream,51.5,18.7,187.0,3250.0,MALE
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE
,Torgersen,39.7,18.4,190.0,3900.0,MALE
,Biscoe,43.2,14.5,208.0,4450.0,FEMALE
Gentoo,,54.3,15.7,231.0,5650.0,MALE
Chinstrap,,,16.7,187.0,3350.0,
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE
Gentoo,Biscoe,50.4,15.3,,5550.0,MALE
,Biscoe,44.5,15.7,217.0,4875.0,.
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,FEMALE
Chinstrap,Dream,49.3,19.9,203.0,4050.0,
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE
Adelie,Torgersen,46.0,21.5,194.0,4200.0,
Adelie,Biscoe,40.5,,187.0,,FEMALE
Gentoo,,52.1,,230.0,,
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
,Biscoe,43.2,14.5,208.0,4450.0,FEMALE
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
Adelie,Torgersen,39.5,,186.0,3800.0,FEMALE
Adelie,,38.9,18.8,190.0,3600.0,FEMALE
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE
Chinstrap,,,18.2,193.0,,MALE
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE
Adelie,,41.4,18.5,202.0,,MALE
Gentoo,,49.6,,216.0,4750.0,MALE
Adelie,Dream,40.7,17.0,,3725.0,
Chinstrap,Dream,,19.9,205.0,4500.0,
Gentoo,,50.8,15.7,226.0,5200.0,
Gentoo,,50.5,15.2,216.0,5000.0,FEMALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE
Adelie,Dream,33.1,16.1,,2900.0,FEMALE
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE
Chinstrap,Dream,52.2,18.8,197.0,3450.0,
Adelie,Dream,,18.8,190.0,3600.0,FEMALE
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE
Chinstrap,,49.5,19.0,200.0,3800.0,MALE
Adelie,Torgersen,,17.1,191.0,,FEMALE
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE
,Biscoe,50.4,15.3,224.0,5550.0,MALE
Gentoo,Biscoe,44.5,14.3,216.0,,
Gentoo,Biscoe,,15.1,222.0,,MALE
Chinstrap,Dream,51.4,19.0,201.0,,
,Biscoe,46.8,15.4,215.0,5150.0,MALE
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE
Gentoo,Biscoe,50.0,16.3,,5700.0,MALE
Gentoo,,,,215.0,,FEMALE
Gentoo,Biscoe,50.0,,230.0,5700.0,MALE
Adelie,Torgersen,,17.1,191.0,3050.0,FEMALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
Adelie,Dream,33.1,16.1,,2900.0,FEMALE
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE
,,32.1,15.5,188.0,3050.0,FEMALE
Chinstrap,,,18.1,202.0,,FEMALE
Adelie,Torgersen,41.8,,,4450.0,MALE
,Biscoe,48.4,14.4,,,FEMALE
Gentoo,Biscoe,,15.8,215.0,5050.0,MALE
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE
Gentoo,Biscoe,,13.7,213.0,4950.0,FEMALE
Gentoo,Biscoe,42.8,14.2,209.0,,FEMALE
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE
Chinstrap,Dream,45.9,,190.0,,
Chinstrap,Dream,,,197.0,3300.0,MALE
,Dream,53.5,19.9,205.0,4500.0,
Gentoo,,45.2,14.8,212.0,5200.0,FEMALE
Gentoo,Biscoe,46.8,,,,MALE
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE
Adelie,Torgersen,,20.6,190.0,3650.0,MALE
Adelie,Torgersen,40.9,,191.0,3700.0,FEMALE
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE
Adelie,,,,,,MALE
Gentoo,Biscoe,,15.0,218.0,4950.0,FEMALE
Gentoo,Biscoe,,,224.0,5550.0,MALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,,,,,
,Dream,50.2,18.7,198.0,,
Adelie,Biscoe,42.2,,197.0,4275.0,MALE
Gentoo,,46.8,16.1,,5500.0,
,,54.2,,201.0,,MALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,
Chinstrap,,42.4,17.3,181.0,,FEMALE
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE
Adelie,,,18.8,193.0,3800.0,MALE
,Dream,49.5,,200.0,3800.0,MALE
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE
Adelie,Dream,,18.6,190.0,3700.0,FEMALE
Chinstrap,,46.6,17.8,193.0,3800.0,FEMALE
Adelie,Biscoe,42.7,,196.0,4075.0,MALE
Adelie,Torgersen,40.9,,191.0,3700.0,FEMALE
Adelie,Dream,32.1,15.5,,3050.0,FEMALE
,Dream,36.4,17.0,195.0,3325.0,FEMALE
Adelie,,40.8,18.9,208.0,,MALE
Adelie,Torgersen,37.8,17.3,180.0,3700.0,
,Dream,41.1,18.1,205.0,,MALE
Gentoo,Biscoe,44.5,15.7,217.0,,.
Chinstrap,Dream,50.2,18.7,198.0,3775.0,
Adelie,Dream,38.8,,190.0,3950.0,MALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
,Dream,37.5,18.9,179.0,2975.0,
Adelie,Dream,41.5,,201.0,4000.0,MALE
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE
Gentoo,Biscoe,,,208.0,4575.0,FEMALE
Adelie,Torgersen,39.2,19.6,195.0,4675.0,
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE
,Dream,39.2,21.1,196.0,4150.0,
,Dream,36.5,18.0,182.0,3150.0,FEMALE
Chinstrap,Dream,,16.5,189.0,3650.0,FEMALE
Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE
Adelie,,,16.5,185.0,,
Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE
Adelie,,34.4,18.4,,3325.0,FEMALE
Adelie,Dream,33.1,,178.0,2900.0,FEMALE
Adelie,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
Chinstrap,Dream,45.9,,190.0,3575.0,
Adelie,Biscoe,37.6,19.1,194.0,,MALE
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE
Adelie,Biscoe,,18.7,180.0,3600.0,
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE
Adelie,Dream,38.1,,187.0,3425.0,FEMALE
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
Adelie,Dream,,17.9,190.0,3450.0,FEMALE
Adelie,Dream,,18.1,193.0,3750.0,MALE
,Biscoe,38.8,17.2,180.0,3800.0,MALE
,Biscoe,40.5,17.9,187.0,3200.0,FEMALE
,Dream,39.2,18.6,,4250.0,MALE
Gentoo,Biscoe,40.9,13.7,214.0,,FEMALE
Gentoo,Biscoe,,15.2,221.0,6300.0,MALE
Adelie,Biscoe,42.2,,197.0,4275.0,MALE
,Dream,,,196.0,,MALE
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE
Chinstrap,Dream,42.5,16.7,,3350.0,
,,35.3,18.9,187.0,,FEMALE
Adelie,Torgersen,,,,,
Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE
Gentoo,,43.8,13.9,208.0,4300.0,FEMALE
,Torgersen,39.3,20.6,190.0,3650.0,MALE
Gentoo,Biscoe,47.2,15.5,215.0,,FEMALE
Gentoo,,45.5,13.9,210.0,4200.0,FEMALE
Adelie,,,18.1,186.0,4450.0,MALE
Adelie,Biscoe,,,,,FEMALE
Gentoo,Biscoe,,13.5,210.0,,
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
Gentoo,Biscoe,50.7,,223.0,5550.0,MALE
Adelie,Biscoe,,21.1,195.0,,MALE
,Dream,49.2,18.2,195.0,4400.0,MALE
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,
Adelie,Dream,,17.1,187.0,,
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE
Adelie,Dream,36.4,,195.0,3325.0,FEMALE
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE
Gentoo,Biscoe,,16.3,220.0,,MALE
,Torgersen,39.3,20.6,190.0,3650.0,MALE
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE
,Biscoe,50.2,14.3,218.0,,MALE
Adelie,,42.8,18.5,195.0,,MALE
,Dream,33.1,16.1,178.0,2900.0,
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE
Gentoo,Biscoe,48.2,15.6,221.0,,MALE
Adelie,Biscoe,40.6,18.8,193.0,,MALE
,Biscoe,46.8,15.4,215.0,5150.0,MALE
Chinstrap,Dream,,17.3,181.0,3600.0,FEMALE
Adelie,Biscoe,37.7,16.0,,3075.0,FEMALE
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE
,Dream,51.5,18.7,187.0,3250.0,MALE
Adelie,Biscoe,37.8,18.3,174.0,,FEMALE
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,FEMALE
Adelie,Dream,38.1,18.6,,3700.0,FEMALE
,Biscoe,47.2,15.5,215.0,4975.0,FEMALE
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE
,Torgersen,39.3,20.6,190.0,3650.0,MALE
,Dream,49.2,18.2,195.0,4400.0,MALE
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE
Adelie,,36.0,17.1,187.0,3700.0,FEMALE
Adelie,,36.0,,,3450.0,FEMALE
Adelie,,39.2,18.6,190.0,4250.0,MALE
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE
Gentoo,Biscoe,48.2,15.6,,,MALE
